Frequency (Hz)	Level (dB)
5038.769531	-63.835487
5044.152832	-64.938766
5049.536133	-65.770264
5054.919434	-68.391777
5060.302734	-74.502838
5065.686035	-81.687843
5071.069336	-75.783447
5076.452637	-71.443985
5081.835938	-69.754318
5087.219238	-68.871071
5092.602539	-67.832207
5097.985840	-66.853447
5103.369141	-66.255020
5108.752441	-66.511864
5114.135742	-67.615265
5119.519043	-68.405167
5124.902344	-67.692368
5130.285645	-65.801125
5135.668945	-63.650990
5141.052246	-61.504356
5146.435547	-60.329170
5151.818848	-60.526455
5157.202148	-62.419693
5162.585449	-67.473404
5167.968750	-76.049644
5173.352051	-72.959145
5178.735352	-75.623322
5184.118652	-77.813431
5189.501953	-78.644737
5194.885254	-79.085991
5200.268555	-71.879730
5205.651855	-70.370903
5211.035156	-70.585464
5216.418457	-70.445175
5221.801758	-69.874100
5227.185059	-70.222412
5232.568359	-72.994553
5237.951660	-76.750717
5243.334961	-75.996841
5248.718262	-76.810410
5254.101562	-76.227310
5259.484863	-71.748451
5264.868164	-69.324059
5270.251465	-68.594978
5275.634766	-68.333878
5281.018066	-68.082245
5286.401367	-68.674133
5291.784668	-71.399323
5297.167969	-75.686119
5302.551270	-78.447533
5307.934570	-82.159790
5313.317871	-86.521210
5318.701172	-81.621864
5324.084473	-77.698410
5329.467773	-75.716423
5334.851074	-76.246445
5340.234375	-78.175598
5345.617676	-78.095757
5351.000977	-76.910034
5356.384277	-76.079613
5361.767578	-75.907784
5367.150879	-75.479813
5372.534180	-75.209351
5377.917480	-76.493126
5383.300781	-77.253899
5388.684082	-74.753044
5394.067383	-72.591042
5399.450684	-71.732552
5404.833984	-71.760948
5410.217285	-72.399178
5415.600586	-74.296135
5420.983887	-77.262192
5426.367188	-78.622902
5431.750488	-81.436409
5437.133789	-80.093262
5442.517090	-79.398666
5447.900391	-84.892830
5453.283691	-77.962646
5458.666992	-75.003387
5464.050293	-75.041641
5469.433594	-72.942062
5474.816895	-72.672119
5480.200195	-72.133675
5485.583496	-71.631920
5490.966797	-73.344406
5496.350098	-70.701492
5501.733398	-68.373909
5507.116699	-68.625084
5512.500000	-69.133980
5517.883301	-66.184204
5523.266602	-63.576233
5528.649902	-64.145256
5534.033203	-65.922058
5539.416504	-64.716087
5544.799805	-64.627235
5550.183105	-66.728859
5555.566406	-71.269447
5560.949707	-78.958412
5566.333008	-73.768021
5571.716309	-72.564827
5577.099609	-73.082909
5582.482910	-70.772881
5587.866211	-72.537338
5593.249512	-72.092308
5598.632812	-69.075371
5604.016113	-69.031433
5609.399414	-68.906258
5614.782715	-69.244041
5620.166016	-68.774254
5625.549316	-68.592819
5630.932617	-70.409081
5636.315918	-76.389595
5641.699219	-74.784317
5647.082520	-67.192062
5652.465820	-65.706322
5657.849121	-67.793251
5663.232422	-69.497971
5668.615723	-68.896980
5673.999023	-70.179001
5679.382324	-74.009361
5684.765625	-76.266411
5690.148926	-74.386665
5695.532227	-74.561554
5700.915527	-75.960236
5706.298828	-75.575310
5711.682129	-75.169167
5717.065430	-72.497673
5722.448730	-71.284874
5727.832031	-73.992432
5733.215332	-77.165642
5738.598633	-79.252205
5743.981934	-85.768562
5749.365234	-80.046623
5754.748535	-77.058441
5760.131836	-77.430878
5765.515137	-74.926979
5770.898438	-70.029205
5776.281738	-68.259735
5781.665039	-69.400627
5787.048340	-72.381912
5792.431641	-75.317955
5797.814941	-77.531860
5803.198242	-79.633575
5808.581543	-80.423965
5813.964844	-79.601326
5819.348145	-79.457771
5824.731445	-80.656136
5830.114746	-79.885612
5835.498047	-78.774170
5840.881348	-77.987259
5846.264648	-76.606636
5851.647949	-76.805283
5857.031250	-78.896080
5862.414551	-80.164871
5867.797852	-77.537491
5873.181152	-74.454079
5878.564453	-73.762001
5883.947754	-74.874245
5889.331055	-74.855736
5894.714355	-70.779526
5900.097656	-67.650772
5905.480957	-66.813347
5910.864258	-67.408264
5916.247559	-69.168533
5921.630859	-72.227310
5927.014160	-75.728668
5932.397461	-77.635452
5937.780762	-76.727470
5943.164062	-75.839439
5948.547363	-76.792206
5953.930664	-78.951530
5959.313965	-80.635124
5964.697266	-80.636986
5970.080566	-77.940292
5975.463867	-76.263191
5980.847168	-77.135498
5986.230469	-80.025398
5991.613770	-80.815796
5996.997070	-76.873703
6002.380371	-74.928688
6007.763672	-75.356857
6013.146973	-78.160820
6018.530273	-77.123199
6023.913574	-71.497208
6029.296875	-69.508186
6034.680176	-70.086487
6040.063477	-72.397659
6045.446777	-76.631035
6050.830078	-81.173546
6056.213379	-79.122559
6061.596680	-76.453171
6066.979980	-75.247993
6072.363281	-75.825844
6077.746582	-77.589371
6083.129883	-78.166740
6088.513184	-77.664909
6093.896484	-76.358536
6099.279785	-74.272545
6104.663086	-74.185585
6110.046387	-75.545235
6115.429688	-73.972534
6120.812988	-72.579140
6126.196289	-72.921265
6131.579590	-74.909149
6136.962891	-76.171455
6142.346191	-75.158318
6147.729492	-75.595360
6153.112793	-74.619125
6158.496094	-73.208336
6163.879395	-73.282982
6169.262695	-73.698647
6174.645996	-74.884506
6180.029297	-79.227806
6185.412598	-83.308784
6190.795898	-78.643211
6196.179199	-77.119080
6201.562500	-77.324417
6206.945801	-76.436340
6212.329102	-75.688103
6217.712402	-74.511864
6223.095703	-71.905746
6228.479004	-70.725174
6233.862305	-73.015579
6239.245605	-76.643486
6244.628906	-74.749344
6250.012207	-73.936752
6255.395508	-74.103584
6260.778809	-73.245796
6266.162109	-71.291573
6271.545410	-70.846909
6276.928711	-73.681480
6282.312012	-80.074112
6287.695312	-79.732658
6293.078613	-75.018349
6298.461914	-74.110153
6303.845215	-75.537949
6309.228516	-73.704140
6314.611816	-72.386017
6319.995117	-72.466576
6325.378418	-72.979233
6330.761719	-73.656296
